27684 92448
94049 47466
134434 57685
72377 15149
153396 51353
59004 23500
87505 31631
53004 39718
151428 66684
166767 83781
140414 44563
11928 55550
90502 55388
162011 58604
184425 55325
122882 96741
160433 35319
185836 46079
119095 24878
87425 63538
149823 32682
82506 55431
170025 25056
102695 29313
121575 60919
149068 62644
126864 64518
25093 63747
102078 44413
38785 63442
126422 14001
151899 97448
181595 62485
101517 54091
120711 48361
119419 92858
37164 66663
25837 89885
169879 64343
178021 46178
51409 61810
120202 31363
66149 94682
74923 31324
46625 42386
155617 83784
111420 62484
36914 22999
62117 21952
184563 38488
49881 26313
135483 25615
157240 30902
55387 84507
101412 33974
97790 13795
152078 11613
177188 64159
180957 76276
55719 83591
147675 30110
80400 76252
136767 90584
87438 97924
58127 25533
79783 35828
125907 85937
29676 12858
40874 34840
83014 79229
106802 82595
171466 56312
76895 50087
104021 13813
18238 26868
177134 66394
107558 78170
77811 42535
18338 50490
71573 18082
111380 40865
118006 43847
133324 27242
114929 54348
22820 51977
72707 12427
135953 90388
100106 93685
177431 91519
117858 51897
117028 67048
59499 19722
23256 92334
24898 91263
136966 62661
126542 78943
54481 59179
31747 71403
187229 13079
12005 76206
45854 74091
35121 30443
21041 29867
160091 81347
47018 98250
83993 66240
157340 21676
86003 66101
73361 18382
108037 94708
20108 91744
51544 95290
196328 27955
98930 41973
169449 49996
146045 81619
122138 73788
139283 93268
171990 97917
68486 65440
165592 40678
97770 29774
16468 18174
47546 45863
24169 33947
69158 98282
78131 12444
160180 14129
88248 91228
174497 25428
125834 45770
99904 56020
108223 11887
80162 88230
172093 14191
160575 75935
75455 73593
111577 74040
89689 45624
116422 82863
199492 29144
119780 19474
56563 89933
69595 37180
59546 95552
138879 33096
146463 49512
186941 57761
174950 92434
182160 99837
99707 57215
69365 22062
110661 83938
139001 66915
34308 67115
129773 87167
144566 50118
92208 50560
15789 87157
89792 95929
161467 99225
144480 23614
107005 44661
30703 55876
184731 74849
95878 55040
129790 76435
104461 91487
150586 98380
104219 34208
31854 70815
74424 20280
47702 41652
198400 84314
114399 30967
175041 46824
177444 36301
107724 36316
60767 74882
85401 24162
146539 27634
11765 32837
129471 26861
12629 97995
26326 69060
10504 52722
95586 29389
27152 94262
63997 99025
192885 81257
153589 13888
11951 73306
108949 45839
117782 52128
43384 16782
73322 44569
109479 87770
121863 60928
104464 72612
189841 73990
83298 67844
198671 97752
188015 29053
121746 96289
74637 41493
62408 14595
73240 45862
52609 15756
155935 14314
151859 22544
14408 71624
146911 79125
153051 75755
75718 55092
70306 11586
119723 82161
162707 97310
59648 85234
146154 61556
145495 77345
132467 81216
132357 13998
24711 33708
199442 84255
115856 83045
101490 14189
58580 16312
99260 11488
106061 12243
47968 62760
143425 79900
97068 53523
78898 51228
40668 47748
168316 33400
152484 89478
108578 52475
170263 70018
65598 57996
91967 72982
43129 36072
104060 95600
82579 75768
177689 95425
196134 47152
99365 13315
77414 80803
125324 21028
66216 80571
197080 23124
112294 62996
109142 90108
103277 51581
72354 97829
84992 16019
133119 53421
58537 53722
118591 43263
146227 44147
88874 62117
89212 41958
34918 65654
192618 63584
106861 61465
192088 51960
148089 69058
18482 72796
40668 20917
49488 72496
34517 56794
85059 83691
71421 89954
40250 24569
42397 62490
106512 70615
186977 21032
191469 80847
176290 54872
179851 81221
174066 16208
114700 22679
154441 41013
155535 81830
145413 71828
163898 12077
188592 46980
162196 15217
31788 15124
30230 53050
156370 34814
19747 75759
68352 46358
113761 79186
110276 68682
44066 37235
170301 52377
102999 73978
92653 94562
155700 36431
91536 55555
131162 43200
152109 44176
139815 58800
84586 21299
138023 39806
147867 75347
86920 70158
61543 73274
119784 78027
110253 36208
183489 62154
68513 59366
74357 32729
67907 77166
70039 43490
71135 91832
199500 48162
55712 49438
139761 61660
107640 17949
46607 81932
109510 91492
129888 92803
123092 50264
194054 11444
177629 46465
15486 25786
116548 52810
173666 34974
158749 66858
16278 99719
158207 13236
145496 67688
150467 33963
79993 58573
64633 34487
17728 48137
34952 93806
114258 75368
153017 17857
28970 52475
199068 45273
64616 98516
128806 48658
80894 85740
196915 54816
26644 11118
158713 24111
141039 66544
112826 94834
150585 11898
54999 16792
82162 41022
189909 37521
